"","Plasmid","Chrom","Genes","Interacting_genes","Interactions","Total_Genes","Total_Interactions"
"104","MT441554.1","Dermacoccus_nishinomiyaensis_","18","0","0","2296","27481"
"105","JN626286.1","Staphylococcus_aureus_","37","106","119","2992","39969"
"106","LN864819.1","Staphylococcus_aureus_","57","129","145","2992","39969"
"107","NZ_KX523901.1","Staphylococcus_aureus_","12","84","82","2992","39969"
"108","MT441554.1","Staphylococcus_aureus_","18","54","53","2992","39969"
"109","JN626286.1","Staphylococcus_xylosus_","37","21","20","2512","36909"
"110","LN864819.1","Staphylococcus_xylosus_","57","21","20","2512","36909"
"111","NZ_KX523901.1","Staphylococcus_xylosus_","12","0","0","2512","36909"
"112","MT441554.1","Staphylococcus_xylosus_","18","19","18","2512","36909"
"113","JN626286.1","Streptococcus_pyogenes_","37","51","50","1846","28215"
"114","LN864819.1","Streptococcus_pyogenes_","57","51","50","1846","28215"
"115","NZ_KX523901.1","Streptococcus_pyogenes_","12","51","50","1846","28215"
"116","MT441554.1","Streptococcus_pyogenes_","18","51","50","1846","28215"
"117","JN626286.1","Streptococcus_iniae_","37","0","0","1872","21996"
"118","LN864819.1","Streptococcus_iniae_","57","0","0","1872","21996"
"119","NZ_KX523901.1","Streptococcus_iniae_","12","0","0","1872","21996"
"120","MT441554.1","Streptococcus_iniae_","18","0","0","1872","21996"
"121","JN626286.1","Bacillus_cereus_","37","45","71","5754","73238"
"122","LN864819.1","Bacillus_cereus_","57","45","71","5754","73238"
"123","NZ_KX523901.1","Bacillus_cereus_","12","0","0","5754","73238"
"124","MT441554.1","Bacillus_cereus_","18","0","0","5754","73238"
"125","JN626286.1","Bacillus_mycoides_","37","29","28","5190","53688"
"126","LN864819.1","Bacillus_mycoides_","57","29","28","5190","53688"
"127","NZ_KX523901.1","Bacillus_mycoides_","12","0","0","5190","53688"
"128","MT441554.1","Bacillus_mycoides_","18","0","0","5190","53688"
"129","JN626286.1","Clostridium_sp._ATCC_29733_","37","0","0","3692","40909"
"130","LN864819.1","Clostridium_sp._ATCC_29733_","57","0","0","3692","40909"
"131","NZ_KX523901.1","Clostridium_sp._ATCC_29733_","12","0","0","3692","40909"
"132","MT441554.1","Clostridium_sp._ATCC_29733_","18","0","0","3692","40909"
"133","JN626286.1","[Clostridium]_sticklandii_","37","57","56","2573","34714"
"134","LN864819.1","[Clostridium]_sticklandii_","57","57","56","2573","34714"
"135","NZ_KX523901.1","[Clostridium]_sticklandii_","12","0","0","2573","34714"
"136","MT441554.1","[Clostridium]_sticklandii_","18","10","9","2573","34714"
"137","JN626286.1","Lactobacillus_animalis_","37","0","0","1844","33085"
"138","LN864819.1","Lactobacillus_animalis_","57","0","0","1844","33085"
"139","NZ_KX523901.1","Lactobacillus_animalis_","12","0","0","1844","33085"
"140","MT441554.1","Lactobacillus_animalis_","18","28","27","1844","33085"
"141","JN626286.1","Bifidobacterium_adolescentis_","37","9","8","1726","22208"
"142","LN864819.1","Bifidobacterium_adolescentis_","57","12","10","1726","22208"
"143","NZ_KX523901.1","Bifidobacterium_adolescentis_","12","0","0","1726","22208"
"144","MT441554.1","Bifidobacterium_adolescentis_","18","6","5","1726","22208"
"145","JN626286.1","Bifidobacterium_coryneforme_","37","0","0","1364","16303"
"146","LN864819.1","Bifidobacterium_coryneforme_","57","0","0","1364","16303"
"147","NZ_KX523901.1","Bifidobacterium_coryneforme_","12","0","0","1364","16303"
"148","MT441554.1","Bifidobacterium_coryneforme_","18","19","18","1364","16303"
"149","JN626286.1","Bifidobacterium_cuniculi_","37","0","0","2198","25509"
"150","LN864819.1","Bifidobacterium_cuniculi_","57","0","0","2198","25509"
"151","NZ_KX523901.1","Bifidobacterium_cuniculi_","12","0","0","2198","25509"
"152","MT441554.1","Bifidobacterium_cuniculi_","18","0","0","2198","25509"
"153","JN626286.1","Bifidobacterium_pseudolongum_subsp._globosum_","37","0","0","1575","23767"
"154","LN864819.1","Bifidobacterium_pseudolongum_subsp._globosum_","57","0","0","1575","23767"
"155","NZ_KX523901.1","Bifidobacterium_pseudolongum_subsp._globosum_","12","0","0","1575","23767"
"156","MT441554.1","Bifidobacterium_pseudolongum_subsp._globosum_","18","12","11","1575","23767"
"157","JN626286.1","Bifidobacterium_magnum_","37","0","0","1507","21872"
"158","LN864819.1","Bifidobacterium_magnum_","57","0","0","1507","21872"
"159","NZ_KX523901.1","Bifidobacterium_magnum_","12","0","0","1507","21872"
"160","MT441554.1","Bifidobacterium_magnum_","18","11","10","1507","21872"
"161","JN626286.1","Bifidobacterium_minimum_","37","0","0","1591","23932"
"162","LN864819.1","Bifidobacterium_minimum_","57","0","0","1591","23932"
"163","NZ_KX523901.1","Bifidobacterium_minimum_","12","0","0","1591","23932"
"164","MT441554.1","Bifidobacterium_minimum_","18","18","17","1591","23932"
"165","JN626286.1","Oerskovia_turbata_","37","0","0","3508","53005"
"166","LN864819.1","Oerskovia_turbata_","57","0","0","3508","53005"
"167","NZ_KX523901.1","Oerskovia_turbata_","12","0","0","3508","53005"
"168","MT441554.1","Oerskovia_turbata_","18","0","0","3508","53005"
"169","JN626286.1","Corynebacterium_pseudotuberculosis_","37","48","56","2242","35622"
"170","LN864819.1","Corynebacterium_pseudotuberculosis_","57","33","40","2242","35622"
"171","NZ_KX523901.1","Corynebacterium_pseudotuberculosis_","12","0","0","2242","35622"
"172","MT441554.1","Corynebacterium_pseudotuberculosis_","18","120","118","2242","35622"
"173","JN626286.1","Rhodococcus_fascians_","37","8","7","5502","84709"
"174","LN864819.1","Rhodococcus_fascians_","57","8","7","5502","84709"
"175","NZ_KX523901.1","Rhodococcus_fascians_","12","0","0","5502","84709"
"176","MT441554.1","Rhodococcus_fascians_","18","0","0","5502","84709"
"177","JN626286.1","Actinoplanes_utahensis_","37","0","0","7395","139361"
"178","LN864819.1","Actinoplanes_utahensis_","57","0","0","7395","139361"
"179","NZ_KX523901.1","Actinoplanes_utahensis_","12","0","0","7395","139361"
"180","MT441554.1","Actinoplanes_utahensis_","18","16","15","7395","139361"
"181","JN626286.1","Streptomyces_aureofaciens_","37","0","0","8151","105861"
"182","LN864819.1","Streptomyces_aureofaciens_","57","0","0","8151","105861"
"183","NZ_KX523901.1","Streptomyces_aureofaciens_","12","0","0","8151","105861"
"184","MT441554.1","Streptomyces_aureofaciens_","18","0","0","8151","105861"
"185","JN626286.1","Streptomyces_bikiniensis_","37","0","0","6510","102620"
"186","LN864819.1","Streptomyces_bikiniensis_","57","0","0","6510","102620"
"187","NZ_KX523901.1","Streptomyces_bikiniensis_","12","0","0","6510","102620"
"188","MT441554.1","Streptomyces_bikiniensis_","18","0","0","6510","102620"
"189","JN626286.1","Streptomyces_fradiae_","37","0","0","6179","110067"
"190","LN864819.1","Streptomyces_fradiae_","57","0","0","6179","110067"
"191","NZ_KX523901.1","Streptomyces_fradiae_","12","0","0","6179","110067"
"192","MT441554.1","Streptomyces_fradiae_","18","0","0","6179","110067"
"193","JN626286.1","Streptomyces_glaucescens_","37","21","20","6567","71975"
"194","LN864819.1","Streptomyces_glaucescens_","57","21","20","6567","71975"
"195","NZ_KX523901.1","Streptomyces_glaucescens_","12","0","0","6567","71975"
"196","MT441554.1","Streptomyces_glaucescens_","18","11","10","6567","71975"
"197","JN626286.1","Streptomyces_halstedii_","37","0","0","6564","124544"
"198","LN864819.1","Streptomyces_halstedii_","57","0","0","6564","124544"
"199","NZ_KX523901.1","Streptomyces_halstedii_","12","0","0","6564","124544"
"200","MT441554.1","Streptomyces_halstedii_","18","0","0","6564","124544"
"201","JN626286.1","Streptomyces_sclerotialus_","37","0","0","6111","117055"
"202","LN864819.1","Streptomyces_sclerotialus_","57","0","0","6111","117055"
"203","NZ_KX523901.1","Streptomyces_sclerotialus_","12","0","0","6111","117055"
"204","MT441554.1","Streptomyces_sclerotialus_","18","0","0","6111","117055"
"205","JN626286.1","Streptomyces_virginiae_","37","0","0","7383","113075"
"206","LN864819.1","Streptomyces_virginiae_","57","0","0","7383","113075"
"207","NZ_KX523901.1","Streptomyces_virginiae_","12","0","0","7383","113075"
"208","MT441554.1","Streptomyces_virginiae_","18","0","0","7383","113075"
"209","JN626286.1","Streptomyces_cellulosae_","37","0","0","8893","184200"
"210","LN864819.1","Streptomyces_cellulosae_","57","0","0","8893","184200"
"211","NZ_KX523901.1","Streptomyces_cellulosae_","12","0","0","8893","184200"
"212","MT441554.1","Streptomyces_cellulosae_","18","0","0","8893","184200"
"213","JN626286.1","Microtetraspora_glauca_","37","0","0","6880","110945"
"214","LN864819.1","Microtetraspora_glauca_","57","0","0","6880","110945"
"215","NZ_KX523901.1","Microtetraspora_glauca_","12","0","0","6880","110945"
"216","MT441554.1","Microtetraspora_glauca_","18","0","0","6880","110945"
"217","JN626286.1","Streptosporangium_amethystogenes_","37","0","0","8433","139931"
"218","LN864819.1","Streptosporangium_amethystogenes_","57","0","0","8433","139931"
"219","NZ_KX523901.1","Streptosporangium_amethystogenes_","12","0","0","8433","139931"
"220","MT441554.1","Streptosporangium_amethystogenes_","18","0","0","8433","139931"
"221","JN626286.1","Pimelobacter_simplex_","37","0","0","4666","53822"
"222","LN864819.1","Pimelobacter_simplex_","57","0","0","4666","53822"
"223","NZ_KX523901.1","Pimelobacter_simplex_","12","0","0","4666","53822"
"224","MT441554.1","Pimelobacter_simplex_","18","26","25","4666","53822"
"225","JN626286.1","Gordonia_terrae_","37","106","122","4988","87017"
"226","LN864819.1","Gordonia_terrae_","57","170","188","4988","87017"
"227","NZ_KX523901.1","Gordonia_terrae_","12","69","68","4988","87017"
"228","MT441554.1","Gordonia_terrae_","18","84","90","4988","87017"
"229","JN626286.1","Pseudonocardia_autotrophica_","37","0","0","7476","144693"
"230","LN864819.1","Pseudonocardia_autotrophica_","57","0","0","7476","144693"
"231","NZ_KX523901.1","Pseudonocardia_autotrophica_","12","0","0","7476","144693"
"232","MT441554.1","Pseudonocardia_autotrophica_","18","0","0","7476","144693"
"233","JN626286.1","Mycoplasma_agalactiae_","37","38","37","836","10880"
"234","LN864819.1","Mycoplasma_agalactiae_","57","38","37","836","10880"
"235","NZ_KX523901.1","Mycoplasma_agalactiae_","12","0","0","836","10880"
"236","MT441554.1","Mycoplasma_agalactiae_","18","0","0","836","10880"
"237","JN626286.1","Mycoplasma_californicum_","37","49","48","612","10248"
"238","LN864819.1","Mycoplasma_californicum_","57","49","48","612","10248"
"239","NZ_KX523901.1","Mycoplasma_californicum_","12","49","48","612","10248"
"240","MT441554.1","Mycoplasma_californicum_","18","49","48","612","10248"
"241","JN626286.1","Thermoanaerobacter_kivui_","37","69","78","2385","31787"
"242","LN864819.1","Thermoanaerobacter_kivui_","57","77","86","2385","31787"
"243","NZ_KX523901.1","Thermoanaerobacter_kivui_","12","42","41","2385","31787"
"244","MT441554.1","Thermoanaerobacter_kivui_","18","42","41","2385","31787"
"245","JN626286.1","Solemya_velum_gill_symbiont_","37","39","54","2721","39569"
"246","LN864819.1","Solemya_velum_gill_symbiont_","57","39","54","2721","39569"
"247","NZ_KX523901.1","Solemya_velum_gill_symbiont_","12","0","0","2721","39569"
"248","MT441554.1","Solemya_velum_gill_symbiont_","18","0","0","2721","39569"
"249","JN626286.1","Candidatus_Sodalis_pierantonius_str._SOPE_","37","51","49","2338","24629"
"250","LN864819.1","Candidatus_Sodalis_pierantonius_str._SOPE_","57","53","51","2338","24629"
"251","NZ_KX523901.1","Candidatus_Sodalis_pierantonius_str._SOPE_","12","46","45","2338","24629"
"252","MT441554.1","Candidatus_Sodalis_pierantonius_str._SOPE_","18","68","71","2338","24629"
"253","JN626286.1","Fervidobacterium_islandicum_","37","0","0","1961","28648"
"254","LN864819.1","Fervidobacterium_islandicum_","57","0","0","1961","28648"
"255","NZ_KX523901.1","Fervidobacterium_islandicum_","12","0","0","1961","28648"
"256","MT441554.1","Fervidobacterium_islandicum_","18","0","0","1961","28648"
"257","JN626286.1","Synergistes_jonesii_","37","0","0","2516","36997"
"258","LN864819.1","Synergistes_jonesii_","57","0","0","2516","36997"
"259","NZ_KX523901.1","Synergistes_jonesii_","12","0","0","2516","36997"
"260","MT441554.1","Synergistes_jonesii_","18","0","0","2516","36997"
"261","JN626286.1","Dactylococcopsis_salina_PCC_8305_","37","17","16","3349","42733"
"262","LN864819.1","Dactylococcopsis_salina_PCC_8305_","57","17","16","3349","42733"
"263","NZ_KX523901.1","Dactylococcopsis_salina_PCC_8305_","12","0","0","3349","42733"
"264","MT441554.1","Dactylococcopsis_salina_PCC_8305_","18","0","0","3349","42733"
"265","JN626286.1","Sphingomonas_paucimobilis_","37","118","129","4705","85120"
"266","LN864819.1","Sphingomonas_paucimobilis_","57","136","146","4705","85120"
"267","NZ_KX523901.1","Sphingomonas_paucimobilis_","12","0","0","4705","85120"
"268","MT441554.1","Sphingomonas_paucimobilis_","18","68","67","4705","85120"
"269","JN626286.1","Sphingobium_yanoikuyae_","37","109","140","5331","57811"
"270","LN864819.1","Sphingobium_yanoikuyae_","57","120","149","5331","57811"
"271","NZ_KX523901.1","Sphingobium_yanoikuyae_","12","32","31","5331","57811"
"272","MT441554.1","Sphingobium_yanoikuyae_","18","42","41","5331","57811"
"273","JN626286.1","Saccharopolyspora_rectivirgula_","37","0","0","3222","61877"
"274","LN864819.1","Saccharopolyspora_rectivirgula_","57","0","0","3222","61877"
"275","NZ_KX523901.1","Saccharopolyspora_rectivirgula_","12","0","0","3222","61877"
"276","MT441554.1","Saccharopolyspora_rectivirgula_","18","13","12","3222","61877"
"277","JN626286.1","Nostoc_sp._PCC_7524_","37","25","24","5365","63520"
"278","LN864819.1","Nostoc_sp._PCC_7524_","57","25","24","5365","63520"
"279","NZ_KX523901.1","Nostoc_sp._PCC_7524_","12","0","0","5365","63520"
"280","MT441554.1","Nostoc_sp._PCC_7524_","18","0","0","5365","63520"
"281","JN626286.1","Porphyromonas_macacae_","37","0","0","1778","24160"
"282","LN864819.1","Porphyromonas_macacae_","57","0","0","1778","24160"
"283","NZ_KX523901.1","Porphyromonas_macacae_","12","0","0","1778","24160"
"284","MT441554.1","Porphyromonas_macacae_","18","0","0","1778","24160"
"285","JN626286.1","Yersinia_kristensenii_","37","148","164","3918","56872"
"286","LN864819.1","Yersinia_kristensenii_","57","148","164","3918","56872"
"287","NZ_KX523901.1","Yersinia_kristensenii_","12","78","77","3918","56872"
"288","MT441554.1","Yersinia_kristensenii_","18","134","134","3918","56872"
"289","JN626286.1","Candidatus_Photodesmus_katoptron_","37","46","44","866","19002"
"290","LN864819.1","Candidatus_Photodesmus_katoptron_","57","46","44","866","19002"
"291","NZ_KX523901.1","Candidatus_Photodesmus_katoptron_","12","42","41","866","19002"
"292","MT441554.1","Candidatus_Photodesmus_katoptron_","18","59","60","866","19002"
"293","JN626286.1","Colwellia_psychrerythraea_","37","0","0","4376","54976"
"294","LN864819.1","Colwellia_psychrerythraea_","57","0","0","4376","54976"
"295","NZ_KX523901.1","Colwellia_psychrerythraea_","12","0","0","4376","54976"
"296","MT441554.1","Colwellia_psychrerythraea_","18","0","0","4376","54976"
"297","JN626286.1","Cobetia_marina_","37","0","0","2726","27574"
"298","LN864819.1","Cobetia_marina_","57","0","0","2726","27574"
"299","NZ_KX523901.1","Cobetia_marina_","12","0","0","2726","27574"
"300","MT441554.1","Cobetia_marina_","18","17","16","2726","27574"
"301","JN626286.1","Herbidospora_cretacea_","37","0","0","7328","117785"
"302","LN864819.1","Herbidospora_cretacea_","57","0","0","7328","117785"
"303","NZ_KX523901.1","Herbidospora_cretacea_","12","0","0","7328","117785"
"304","MT441554.1","Herbidospora_cretacea_","18","0","0","7328","117785"
"305","JN626286.1","Streptomyces_griseoluteus_","37","0","0","7366","106035"
"306","LN864819.1","Streptomyces_griseoluteus_","57","0","0","7366","106035"
"307","NZ_KX523901.1","Streptomyces_griseoluteus_","12","0","0","7366","106035"
"308","MT441554.1","Streptomyces_griseoluteus_","18","0","0","7366","106035"
"309","JN626286.1","Yersinia_ruckeri_","37","121","135","3325","44834"
"310","LN864819.1","Yersinia_ruckeri_","57","103","118","3325","44834"
"311","NZ_KX523901.1","Yersinia_ruckeri_","12","62","61","3325","44834"
"312","MT441554.1","Yersinia_ruckeri_","18","74","75","3325","44834"
"313","JN626286.1","Vibrio_navarrensis_","37","23","22","3816","71462"
"314","LN864819.1","Vibrio_navarrensis_","57","23","22","3816","71462"
"315","NZ_KX523901.1","Vibrio_navarrensis_","12","0","0","3816","71462"
"316","MT441554.1","Vibrio_navarrensis_","18","18","17","3816","71462"
"317","JN626286.1","Janthinobacterium_lividum_","37","252","274","5438","122230"
"318","LN864819.1","Janthinobacterium_lividum_","57","252","274","5438","122230"
"319","NZ_KX523901.1","Janthinobacterium_lividum_","12","115","113","5438","122230"
"320","MT441554.1","Janthinobacterium_lividum_","18","115","113","5438","122230"
"321","JN626286.1","Bifidobacterium_pseudolongum_subsp._pseudolongum_","37","0","0","1495","22683"
"322","LN864819.1","Bifidobacterium_pseudolongum_subsp._pseudolongum_","57","0","0","1495","22683"
"323","NZ_KX523901.1","Bifidobacterium_pseudolongum_subsp._pseudolongum_","12","0","0","1495","22683"
"324","MT441554.1","Bifidobacterium_pseudolongum_subsp._pseudolongum_","18","11","10","1495","22683"
"325","JN626286.1","Clavibacter_michiganensis_subsp._sepedonicus_","37","26","25","3072","29944"
"326","LN864819.1","Clavibacter_michiganensis_subsp._sepedonicus_","57","26","25","3072","29944"
"327","NZ_KX523901.1","Clavibacter_michiganensis_subsp._sepedonicus_","12","0","0","3072","29944"
"328","MT441554.1","Clavibacter_michiganensis_subsp._sepedonicus_","18","0","0","3072","29944"
"329","JN626286.1","Campylobacter_sputorum_biovar_sputorum_","37","0","0","1919","32699"
"330","LN864819.1","Campylobacter_sputorum_biovar_sputorum_","57","0","0","1919","32699"
"331","NZ_KX523901.1","Campylobacter_sputorum_biovar_sputorum_","12","0","0","1919","32699"
"332","MT441554.1","Campylobacter_sputorum_biovar_sputorum_","18","0","0","1919","32699"
"333","JN626286.1","Pseudomonas_stutzeri_ATCC_14405_=_CCUG_16156_","37","0","0","4126","79147"
"334","LN864819.1","Pseudomonas_stutzeri_ATCC_14405_=_CCUG_16156_","57","0","0","4126","79147"
"335","NZ_KX523901.1","Pseudomonas_stutzeri_ATCC_14405_=_CCUG_16156_","12","0","0","4126","79147"
"336","MT441554.1","Pseudomonas_stutzeri_ATCC_14405_=_CCUG_16156_","18","28","27","4126","79147"
"337","JN626286.1","Synechococcus_sp._PCC_7002_","37","28","27","2862","44714"
"338","LN864819.1","Synechococcus_sp._PCC_7002_","57","46","47","2862","44714"
"339","NZ_KX523901.1","Synechococcus_sp._PCC_7002_","12","0","0","2862","44714"
"340","MT441554.1","Synechococcus_sp._PCC_7002_","18","0","0","2862","44714"
"341","JN626286.1","Synechococcus_sp._WH_7803_","37","36","36","2533","29704"
"342","LN864819.1","Synechococcus_sp._WH_7803_","57","36","36","2533","29704"
"343","NZ_KX523901.1","Synechococcus_sp._WH_7803_","12","54","66","2533","29704"
"344","MT441554.1","Synechococcus_sp._WH_7803_","18","54","66","2533","29704"
"345","JN626286.1","Calothrix_sp._PCC_7103_","37","0","0","10163","195022"
"346","LN864819.1","Calothrix_sp._PCC_7103_","57","0","0","10163","195022"
"347","NZ_KX523901.1","Calothrix_sp._PCC_7103_","12","0","0","10163","195022"
"348","MT441554.1","Calothrix_sp._PCC_7103_","18","0","0","10163","195022"
"349","JN626286.1","Blautia_producta_","37","0","0","5212","97062"
